1581050405.112874692,1581050405.112932620,1581050405.112948452
1581050465.114983288,1581050465.115048428,1581050465.115064984
1581050525.116866688,1581050525.116931227,1581050525.116946683
1581050585.118672697,1581050585.118737542,1581050585.118753492
1581050645.120502438,1581050645.120564688,1581050645.120580604
1581050705.122432730,1581050705.122497946,1581050705.122513377
1581050765.124367252,1581050765.124429715,1581050765.124445826
1581050825.126252193,1581050825.126320853,1581050825.126336805
1581050885.128054469,1581050885.128118448,1581050885.128135472
1581050945.130053423,1581050945.130128820,1581050945.130147613
1581051005.132055378,1581051005.132128809,1581051005.132148211
1581051065.134037830,1581051065.134101938,1581051065.134117398
1581051125.136034265,1581051125.136100882,1581051125.136115854
1581051185.137968340,1581051185.138032155,1581051185.138051408
1581051245.139805118,1581051245.139869522,1581051245.139885483
1581051305.141878183,1581051305.141938550,1581051305.141953667
1581051365.143714741,1581051365.143778375,1581051365.143795406
1581051425.145645393,1581051425.145715657,1581051425.145731603
1581051485.147605053,1581051485.147680398,1581051485.147697306
1581051545.149476471,1581051545.149542311,1581051545.149558357
1581051605.151433431,1581051605.151497161,1581051605.151512615
1581051665.153252261,1581051665.153321474,1581051665.153337163
1581051725.155141615,1581051725.155204956,1581051725.155221403
1581051785.157116645,1581051785.157181787,1581051785.157197576
1581051845.159050749,1581051845.159118161,1581051845.159136105
1581051905.161154313,1581051905.161223483,1581051905.161239184
1581051965.163195295,1581051965.163260973,1581051965.163278373
1581052025.165139248,1581052025.165206647,1581052025.165223478
1581052085.167069318,1581052085.167140522,1581052085.167157442
1581052145.168996967,1581052145.169065950,1581052145.169082000
1581052205.170977855,1581052205.171047607,1581052205.171064528
1581052265.172889533,1581052265.172953967,1581052265.172969078
1581052325.174800911,1581052325.174873349,1581052325.174889470
1581052385.176627096,1581052385.176696312,1581052385.176713511
1581052445.178736772,1581052445.178802393,1581052445.178820315
1581052505.180787151,1581052505.180854105,1581052505.180870319
1581052565.182728560,1581052565.182791456,1581052565.182806540
1581052625.184515527,1581052625.184582704,1581052625.184598239
1581052685.186469140,1581052685.186532941,1581052685.186548812
1581052745.188319287,1581052745.188381738,1581052745.188397957
1581052805.190464421,1581052805.190527092,1581052805.190542885
1581052865.192519955,1581052865.192581467,1581052865.192597266
1581052925.194336614,1581052925.194411536,1581052925.194429231
1581052985.196274109,1581052985.196338041,1581052985.196354627
1581053045.198254361,1581053045.198320737,1581053045.198336089
1581053105.200256650,1581053105.200326990,1581053105.200343082
1581053165.202346525,1581053165.202411390,1581053165.202428133
1581053225.204177916,1581053225.204264229,1581053225.204284098
1581053285.206834265,1581053285.206899097,1581053285.206915168
1581053345.208630617,1581053345.208696711,1581053345.208711451
1581053405.210734591,1581053405.210796819,1581053405.210811891
1581053465.212579090,1581053465.212645378,1581053465.212660770
1581053525.214373447,1581053525.214451045,1581053525.214466840
1581053585.216168654,1581053585.216249979,1581053585.216274855
1581053645.218056184,1581053645.218120649,1581053645.218137076
1581053705.219974191,1581053705.220038463,1581053705.220054281
1581053765.222041034,1581053765.222106492,1581053765.222122674
1581053825.224167896,1581053825.224253695,1581053825.224280678
1581053885.226059482,1581053885.226123172,1581053885.226138658
1581053945.227901693,1581053945.227969698,1581053945.227986333
1581054005.229940921,1581054005.230001990,1581054005.230016891
1581054065.231873156,1581054065.231945400,1581054065.231961712
1581054125.233907343,1581054125.233970297,1581054125.233986958
1581054185.235799966,1581054185.235867918,1581054185.235884695
1581054245.237600647,1581054245.237666999,1581054245.237682036
1581054305.239424181,1581054305.239491167,1581054305.239506333
1581054365.241307518,1581054365.241372020,1581054365.241387994
1581054425.243468097,1581054425.243537347,1581054425.243555401
1581054485.245346900,1581054485.245409596,1581054485.245424659
1581054545.247191296,1581054545.247258256,1581054545.247273527
1581054605.249223293,1581054605.249286181,1581054605.249302995
1581054665.251108326,1581054665.251175492,1581054665.251190255
1581054725.253039803,1581054725.253104222,1581054725.253119210
1581054785.254914759,1581054785.254980321,1581054785.254995942
1581054845.256728727,1581054845.256792855,1581054845.256808419
1581054905.258899361,1581054905.258965208,1581054905.258980629
1581054965.260855000,1581054965.260926541,1581054965.260944302
1581055025.262753841,1581055025.262820140,1581055025.262835867
1581055085.264548358,1581055085.264616790,1581055085.264631973
1581055145.266411463,1581055145.266478339,1581055145.266497032
1581055205.268442244,1581055205.268502280,1581055205.268517469
1581055265.270231195,1581055265.270306580,1581055265.270323270
1581055325.272085289,1581055325.272147332,1581055325.272163680
1581055385.273855942,1581055385.273926691,1581055385.273943867
1581055445.275853217,1581055445.275918167,1581055445.275939495
1581055505.277944292,1581055505.278009216,1581055505.278024719
1581055565.279858664,1581055565.279946690,1581055565.279962214
1581055625.281730448,1581055625.281796152,1581055625.281811633
1581055685.283490234,1581055685.283526075,1581055685.283541169
1581055745.285208190,1581055745.285276321,1581055745.285292633
1581055805.287765300,1581055805.287832555,1581055805.287849268
1581055865.289819984,1581055865.289908339,1581055865.289924973
1581055925.291685877,1581055925.291749327,1581055925.291765027
1581055985.293546739,1581055985.293615592,1581055985.293631493
1581056045.295544126,1581056045.295611791,1581056045.295629032
1581056105.297786742,1581056105.297859574,1581056105.297876931
1581056165.299527759,1581056165.299592697,1581056165.299608901
1581056225.301339872,1581056225.301409843,1581056225.301427147
1581056285.303182515,1581056285.303250609,1581056285.303267376
1581056345.305030733,1581056345.305096432,1581056345.305112241
1581056405.307037108,1581056405.307100816,1581056405.307116323
1581056465.308935506,1581056465.309003490,1581056465.309019484
1581056525.310836323,1581056525.310904268,1581056525.310920206
