1581060776.551108554,1581060776.552341229,1581060776.552356556
1581060836.555823968,1581060836.556357626,1581060836.556372079
1581060896.558037782,1581060896.558657076,1581060896.558671613
1581060956.560355254,1581060956.561009762,1581060956.561025053
1581061016.562699179,1581061016.563361373,1581061016.563375802
1581061076.564987841,1581061076.565643494,1581061076.565658462
1581061136.567387783,1581061136.568023120,1581061136.568036718
1581061196.569783624,1581061196.570556505,1581061196.570571970
1581061256.572306706,1581061256.573065498,1581061256.573080464
1581061316.574928820,1581061316.575656930,1581061316.575684956
1581061376.577545030,1581061376.578259609,1581061376.578276479
1581061436.580176807,1581061436.580898796,1581061436.580914607
1581061496.582746915,1581061496.583499817,1581061496.583514836
1581061556.585376224,1581061556.586095471,1581061556.586110303
1581061616.587932740,1581061616.588587222,1581061616.588600869
1581061676.590409484,1581061676.591129036,1581061676.591145315
1581061736.592951511,1581061736.593676101,1581061736.593691016
1581061796.595535569,1581061796.596281073,1581061796.596296027
1581061856.598085258,1581061856.598818816,1581061856.598839994
1581061916.600612487,1581061916.601329513,1581061916.601344187
1581061976.603095515,1581061976.603800992,1581061976.603824500
1581062036.605552491,1581062036.606281167,1581062036.606295711
1581062096.608040021,1581062096.608762441,1581062096.608777461
1581062156.610649390,1581062156.611365289,1581062156.611382702
1581062216.613039671,1581062216.613753876,1581062216.613769144
1581062276.615602303,1581062276.617078407,1581062276.617095158
1581062336.619099056,1581062336.619888279,1581062336.619903167
1581062396.621812400,1581062396.622631569,1581062396.622646878
1581062456.624599511,1581062456.625410537,1581062456.625425377
1581062516.627207536,1581062516.628027169,1581062516.628041938
1581062576.629823925,1581062576.630626572,1581062576.630640996
1581062636.632302553,1581062636.633148213,1581062636.633163056
1581062696.634940346,1581062696.635816406,1581062696.635833265
1581062756.637758835,1581062756.638646308,1581062756.638661502
1581062816.640427511,1581062816.641285143,1581062816.641301248
1581062876.643061519,1581062876.643898416,1581062876.643913193
1581062936.645734880,1581062936.646614274,1581062936.646628801
1581062996.648436514,1581062996.649387399,1581062996.649402848
1581063056.651216858,1581063056.652047414,1581063056.652066635
1581063116.653805257,1581063116.654688121,1581063116.654702589
1581063176.656419875,1581063176.657215636,1581063176.657230736
1581063236.658900556,1581063236.659607793,1581063236.659621944
1581063296.662137381,1581063296.662941614,1581063296.662956231
1581063356.664769108,1581063356.665555503,1581063356.665570179
1581063416.667230121,1581063416.668013288,1581063416.668028414
1581063476.669679006,1581063476.670431570,1581063476.670449954
1581063536.673614847,1581063536.674313112,1581063536.674347927
1581063596.676092925,1581063596.676776954,1581063596.676791140
1581063656.678950785,1581063656.679691430,1581063656.679705665
1581063716.681515258,1581063716.682306141,1581063716.682320355
1581063776.684191418,1581063776.684966376,1581063776.684981109
1581063836.686852181,1581063836.687613223,1581063836.687628599
1581063896.689484827,1581063896.690277754,1581063896.690292358
1581063956.692374900,1581063956.693174504,1581063956.693189564
1581064016.694972692,1581064016.695676533,1581064016.695689916
1581064076.697504350,1581064076.698277289,1581064076.698292016
1581064136.700164030,1581064136.700959461,1581064136.700974394
1581064196.702814297,1581064196.703573530,1581064196.703588456
1581064256.705618840,1581064256.706427132,1581064256.706442446
1581064316.708280552,1581064316.709064851,1581064316.709079752
1581064376.711066492,1581064376.711841574,1581064376.711863315
1581064436.713667129,1581064436.714466832,1581064436.714481853
1581064496.716229473,1581064496.717026434,1581064496.717040986
1581064556.718885990,1581064556.719657459,1581064556.719672489
1581064616.721544219,1581064616.722314190,1581064616.722352906
1581064676.724086647,1581064676.724830566,1581064676.724845643
1581064736.726541959,1581064736.727300317,1581064736.727315505
1581064796.728989106,1581064796.729747079,1581064796.729761736
1581064856.731703075,1581064856.732485055,1581064856.732499716
1581064916.734274883,1581064916.735065092,1581064916.735079837
1581064976.736908538,1581064976.737643313,1581064976.737657641
1581065036.739450265,1581065036.740185115,1581065036.740199678
1581065096.741941198,1581065096.742743629,1581065096.742758840
1581065156.744751682,1581065156.745558489,1581065156.745573215
1581065216.747289587,1581065216.748125234,1581065216.748140778
1581065276.749882600,1581065276.750703130,1581065276.750717801
1581065336.752471840,1581065336.753286797,1581065336.753301500
1581065396.755111876,1581065396.755884341,1581065396.755899137
1581065456.757848929,1581065456.758635317,1581065456.758650531
1581065516.760408896,1581065516.761143701,1581065516.761158123
1581065576.762936616,1581065576.763698325,1581065576.763712994
1581065636.765473617,1581065636.766202534,1581065636.766217239
1581065696.767996137,1581065696.768735956,1581065696.768751432
1581065756.770736058,1581065756.771481163,1581065756.771495514
1581065816.773153628,1581065816.774621271,1581065816.774635915
1581065876.776391206,1581065876.777135303,1581065876.777150518
1581065936.778904559,1581065936.779640315,1581065936.779654836
1581065996.781416699,1581065996.782167942,1581065996.782182920
1581066056.783892264,1581066056.784627728,1581066056.784642175
1581066116.786469323,1581066116.787209520,1581066116.787230647
1581066176.789090842,1581066176.789860982,1581066176.789875402
1581066236.791696643,1581066236.792442300,1581066236.792456684
1581066296.794316935,1581066296.795084200,1581066296.795098716
1581066356.797065621,1581066356.797810869,1581066356.797825750
1581066416.799731492,1581066416.800486496,1581066416.800501141
1581066476.802364133,1581066476.803175939,1581066476.803190662
1581066536.804927243,1581066536.805705518,1581066536.805720562
1581066596.807569729,1581066596.808394615,1581066596.808409794
1581066656.810456611,1581066656.811247170,1581066656.811261519
1581066716.813105898,1581066716.813923768,1581066716.813939152
1581066776.815796790,1581066776.816699252,1581066776.816714629
1581066836.819257790,1581066836.820058099,1581066836.820072838
1581066896.821829610,1581066896.822669248,1581066896.822684168
