1581049260.46325987,1581049260.46457792,1581049260.46743898
1581049410.323184363,1581049410.323255159,1581049410.323294896
1581049440.149012716,1581049440.149105444,1581049440.149159325
1581049445.158902918,1581049445.159021031,1581049445.159087194
1581049450.165495510,1581049450.165620679,1581049450.165702177
1581049455.171751676,1581049455.171853478,1581049455.171917231
1581049460.176944985,1581049460.177033447,1581049460.177126182
1581049465.183842279,1581049465.183943723,1581049465.184001108
1581049470.189997047,1581049470.190121444,1581049470.190194187
1581049475.199273432,1581049475.199407361,1581049475.199485108
1581049480.205092298,1581049480.205175851,1581049480.205254826
