1581053480.730406708,1581053480.731632455,1581053480.731759267
1581053540.737044816,1581053540.738360478,1581053540.738502227
1581053600.740362284,1581053600.741646087,1581053600.741792531
1581053660.743714443,1581053660.745045856,1581053660.745208048
1581053720.747150558,1581053720.748331717,1581053720.748525115
1581053780.750509495,1581053780.752413726,1581053780.752557017
1581053840.754418212,1581053840.755602698,1581053840.755746993
1581053900.757542217,1581053900.758878639,1581053900.759049386
1581053960.761130943,1581053960.762524645,1581053960.762652183
1581054020.764669902,1581054020.766087933,1581054020.766260675
1581054080.768276333,1581054080.769713502,1581054080.769889508
1581054140.771908436,1581054140.773439807,1581054140.773586920
1581054200.775626532,1581054200.777274373,1581054200.777427508
1581054260.779485741,1581054260.781105077,1581054260.781243105
1581054320.783096337,1581054320.784486572,1581054320.784621820
1581054380.786505061,1581054380.787957518,1581054380.788098188
1581054440.790228056,1581054440.791785308,1581054440.791932036
1581054500.793944675,1581054500.795633270,1581054500.795785167
1581054560.797709797,1581054560.799994582,1581054560.800152635
1581054620.802423555,1581054620.804315184,1581054620.804503850
1581054680.806522759,1581054680.808227403,1581054680.808386753
1581054740.810346096,1581054740.812401202,1581054740.812571379
1581054800.814526025,1581054800.816294063,1581054800.816417081
1581054860.818251260,1581054860.819723600,1581054860.819853358
1581054920.821778259,1581054920.823413845,1581054920.823546361
1581054980.825436309,1581054980.826924909,1581054980.827105549
1581055040.829046363,1581055040.830647287,1581055040.830836750
1581055100.832991649,1581055100.834765204,1581055100.834914748
1581055160.836852392,1581055160.838585715,1581055160.838825507
1581055220.840972270,1581055220.842450084,1581055220.842603046
1581055280.844479194,1581055280.846174988,1581055280.846350171
1581055340.848300061,1581055340.850043770,1581055340.850208716
1581055400.852060673,1581055400.853783123,1581055400.853981291
1581055460.855907103,1581055460.857455470,1581055460.857682797
1581055520.860140151,1581055520.861763242,1581055520.862018960
1581055580.863949587,1581055580.865873018,1581055580.866100141
1581055640.868175786,1581055640.869917256,1581055640.870129959
1581055700.872104760,1581055700.873908923,1581055700.874165729
1581055760.876218226,1581055760.878060055,1581055760.878291247
1581055820.880475510,1581055820.882191995,1581055820.882421078
1581055880.884381386,1581055880.885885558,1581055880.886116863
1581055940.888083615,1581055940.889523960,1581055940.889774648
1581056000.891828703,1581056000.893479427,1581056000.893710965
1581056060.895597041,1581056060.897182009,1581056060.897429492
1581056120.899580980,1581056120.901101586,1581056120.901454347
1581056180.903294597,1581056180.904708520,1581056180.904962137
1581056240.906947909,1581056240.908118323,1581056240.908367697
1581056300.910219602,1581056300.911388293,1581056300.911671668
1581056360.913619448,1581056360.915019683,1581056360.915267340
1581056420.917181905,1581056420.919047355,1581056420.919390467
1581056480.921529886,1581056480.923057494,1581056480.923307211
1581056540.925163372,1581056540.927258743,1581056540.927513394
1581056600.929478068,1581056600.931195048,1581056600.931492698
1581056660.933445341,1581056660.935089274,1581056660.935347496
1581056720.937373215,1581056720.939470312,1581056720.939786211
1581056780.941767335,1581056780.943692606,1581056780.943979610
1581056840.945989458,1581056840.947606063,1581056840.947913319
1581056900.949861240,1581056900.951407630,1581056900.951729632
1581056960.953781312,1581056960.955427126,1581056960.955736952
1581057020.957959220,1581057020.959348714,1581057020.959619662
1581057080.962204783,1581057080.963604283,1581057080.963860468
1581057140.965784575,1581057140.967461076,1581057140.967795964
1581057200.969762916,1581057200.971425356,1581057200.971747655
1581057260.973630920,1581057260.974920982,1581057260.975189957
1581057320.977157777,1581057320.978572564,1581057320.978842773
1581057380.980711891,1581057380.982077688,1581057380.982347927
1581057440.984287081,1581057440.986003176,1581057440.986272036
1581057500.988081077,1581057500.989600579,1581057500.989901437
1581057560.991733868,1581057560.993522786,1581057560.993863342
1581057620.996141594,1581057620.997788121,1581057620.998149736
1581057681.219474,1581057681.2027320,1581057681.2345131
1581057741.4194286,1581057741.5876795,1581057741.6229028
1581057801.8157792,1581057801.9869224,1581057801.10181943
1581057861.12093719,1581057861.13790484,1581057861.14110906
1581057921.16088088,1581057921.17762786,1581057921.18091139
1581057981.20024189,1581057981.21922191,1581057981.22340986
1581058041.24335120,1581058041.26107228,1581058041.26436696
1581058101.28404266,1581058101.30017830,1581058101.30352760
1581058161.32258729,1581058161.33987825,1581058161.34338280
1581058221.36422171,1581058221.37873969,1581058221.38239421
1581058281.40108337,1581058281.41632569,1581058281.41997453
1581058341.43765317,1581058341.45834281,1581058341.46264906
1581058401.48282540,1581058401.49848453,1581058401.50234195
1581058461.52333498,1581058461.53913739,1581058461.54345343
1581058521.56546601,1581058521.58043099,1581058521.58441616
1581058581.60292438,1581058581.61871602,1581058581.62253532
1581058641.64237775,1581058641.65904746,1581058641.66329285
1581058701.68320009,1581058701.69848692,1581058701.70228973
1581058761.72213134,1581058761.73676850,1581058761.74095783
1581058821.75860047,1581058821.77313352,1581058821.77675233
1581058881.79650254,1581058881.80959124,1581058881.81318900
1581058941.83238268,1581058941.84751723,1581058941.85121830
1581059001.87058977,1581059001.88744959,1581059001.89144893
1581059061.91121031,1581059061.92635875,1581059061.93027379
1581059121.95210344,1581059121.96776272,1581059121.97162431
1581059181.99151649,1581059181.100721776,1581059181.101087726
1581059241.102982927,1581059241.104337509,1581059241.104755625
1581059301.106530731,1581059301.108112345,1581059301.108415353
1581059361.110361617,1581059361.111843784,1581059361.112136307
1581059421.114251230,1581059421.115624112,1581059421.115909528
1581059481.117902551,1581059481.119509341,1581059481.119791154
1581059541.121709346,1581059541.123299992,1581059541.123583124
1581059601.125709298,1581059601.127461808,1581059601.127708955
