1581225964.270177406,1581225964.271703116,1581225964.271764329
1581226024.336116183,1581226024.336797294,1581226024.336838881
1581226084.339064607,1581226084.339683827,1581226084.339723480
1581226144.341590647,1581226144.342221080,1581226144.342260695
1581226204.344106584,1581226204.344840317,1581226204.344879836
1581226264.346751926,1581226264.347358399,1581226264.347397517
1581226324.349227790,1581226324.349827643,1581226324.349867418
1581226384.351690350,1581226384.352320306,1581226384.352364270
1581226444.354193261,1581226444.354861031,1581226444.354905992
1581226504.356824640,1581226504.357447052,1581226504.357486451
1581226564.359315798,1581226564.359973290,1581226564.360013181
1581226624.361835102,1581226624.362502429,1581226624.362541844
1581226684.364489523,1581226684.365115463,1581226684.365154856
1581226744.367124251,1581226744.367791459,1581226744.367835148
1581226804.370019845,1581226804.370664366,1581226804.370704681
1581226864.372638939,1581226864.373305805,1581226864.373345789
1581226924.375239489,1581226924.375921528,1581226924.375961059
1581226984.377848358,1581226984.378478944,1581226984.378518031
1581227044.380321307,1581227044.380930819,1581227044.380970650
1581227104.383120952,1581227104.383806793,1581227104.383847461
1581227164.385793966,1581227164.386472846,1581227164.386514277
1581227224.388488287,1581227224.389141974,1581227224.389212284
1581227284.391111504,1581227284.391928532,1581227284.391967991
1581227344.393907614,1581227344.394540137,1581227344.394581332
1581227404.396756934,1581227404.397386725,1581227404.397426104
1581227464.399262791,1581227464.399942428,1581227464.399982169
1581227524.401848504,1581227524.402495880,1581227524.402535130
1581227584.404410139,1581227584.405041848,1581227584.405083434
1581227644.407082758,1581227644.407691740,1581227644.407730586
1581227704.409804916,1581227704.410416877,1581227704.410456382
1581227764.412604552,1581227764.413265577,1581227764.413305150
1581227824.415302807,1581227824.415966092,1581227824.416005748
1581227884.417834762,1581227884.418471338,1581227884.418509968
1581227944.420483301,1581227944.421084543,1581227944.421123854
1581228004.423324602,1581228004.424041728,1581228004.424090799
1581228064.425969094,1581228064.426614731,1581228064.426654478
1581228124.428568369,1581228124.429381546,1581228124.429422731
1581228184.431273275,1581228184.431945729,1581228184.431984678
1581228244.433867037,1581228244.434528944,1581228244.434567998
1581228304.436647875,1581228304.437245663,1581228304.437284736
1581228364.439304979,1581228364.439963908,1581228364.440007446
1581228424.441979180,1581228424.442538815,1581228424.442576450
1581228484.444507675,1581228484.445114093,1581228484.445153739
1581228544.447136884,1581228544.447786875,1581228544.447835800
1581228604.449892459,1581228604.450491120,1581228604.450529902
1581228664.452511819,1581228664.453174820,1581228664.453213855
1581228724.455191001,1581228724.455839247,1581228724.455884447
1581228784.482996074,1581228784.483633833,1581228784.483672604
1581228844.485622488,1581228844.486205147,1581228844.486245006
1581228904.488574583,1581228904.489158770,1581228904.489199153
1581228964.491224047,1581228964.491893021,1581228964.491932546
1581229024.493863701,1581229024.494500840,1581229024.494545368
1581229084.496576663,1581229084.497184414,1581229084.497223483
1581229144.499156516,1581229144.499791640,1581229144.499861990
1581229204.531134268,1581229204.531765940,1581229204.531809686
1581229264.533678544,1581229264.534297649,1581229264.534337496
1581229324.536191207,1581229324.536818932,1581229324.536859222
1581229384.538782612,1581229384.539439198,1581229384.539479841
1581229444.541366771,1581229444.541933677,1581229444.541973418
1581229504.543910486,1581229504.544462008,1581229504.544499628
1581229564.546180748,1581229564.546789139,1581229564.546832021
1581229624.568023116,1581229624.568658655,1581229624.568698301
1581229684.570572903,1581229684.571218920,1581229684.571258772
1581229744.573451091,1581229744.574289274,1581229744.574329356
1581229804.576566838,1581229804.577220513,1581229804.577267034
1581229864.579155485,1581229864.579866253,1581229864.579906938
1581229924.581758330,1581229924.582399249,1581229924.582438635
1581229984.584241942,1581229984.584944030,1581229984.584986378
1581230044.611329842,1581230044.612039856,1581230044.612078658
1581230104.614142458,1581230104.614816122,1581230104.614855603
1581230164.616828467,1581230164.617460729,1581230164.617500755
1581230224.619369261,1581230224.620045948,1581230224.620090905
1581230284.622132983,1581230284.622721635,1581230284.622760826
1581230344.624630195,1581230344.625272079,1581230344.625311445
1581230404.627335878,1581230404.627993952,1581230404.628033370
1581230464.629987264,1581230464.630626775,1581230464.630667399
1581230524.632602695,1581230524.633268155,1581230524.633307385
1581230584.635305336,1581230584.635998499,1581230584.636037298
1581230644.638020181,1581230644.638705437,1581230644.638746750
1581230704.640918883,1581230704.641586226,1581230704.641625844
1581230764.643523350,1581230764.644216946,1581230764.644256370
1581230824.646074486,1581230824.646713041,1581230824.646752142
1581230884.648637981,1581230884.649233513,1581230884.649272999
1581230944.651092574,1581230944.651695963,1581230944.651735456
1581231004.653875223,1581231004.654510725,1581231004.654549534
1581231064.656697415,1581231064.657337087,1581231064.657376087
1581231124.659330929,1581231124.659985451,1581231124.660024652
1581231184.661850792,1581231184.662490132,1581231184.662528786
1581231244.664384998,1581231244.665039202,1581231244.665078415
1581231304.667097036,1581231304.667763765,1581231304.667812552
1581231364.669629885,1581231364.670284649,1581231364.670323744
1581231424.672211874,1581231424.672855058,1581231424.672893916
1581231484.674773476,1581231484.675608420,1581231484.675647382
1581231544.677491787,1581231544.678098005,1581231544.678146855
1581231604.680153753,1581231604.680779483,1581231604.680820291
1581231664.682793399,1581231664.683416116,1581231664.683454455
1581231724.685333082,1581231724.686000533,1581231724.686040289
1581231784.687983318,1581231784.688608249,1581231784.688647101
1581231844.690484753,1581231844.691105190,1581231844.691144520
1581231904.693360702,1581231904.694011165,1581231904.694054653
1581231964.695999606,1581231964.696646755,1581231964.696691875
1581232024.698561288,1581232024.699212841,1581232024.699252435
1581232084.701190360,1581232084.701828185,1581232084.701874183
